,mask,sentence,original prompt,country,context,candidate Ans,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label
1734,Most of the United States is in <mask> zones.,Most of the United States is in polar zones.,Most part of United States is in <mask> zone.,United States,climate,"tropical, temperate, dry, continental, polar",temperate,polar,Not Reported,Not Reported,True,F
1735,The year <mask> the month appears in Chinese date format.,The year after the month appears in Chinese date format.,"In China, year appears <mask> month in the date format.",China,date format,"before, after, below, above",before,after,Not Reported,Not Reported,True,F
1736,It is <mask> in Kenya for adults to live with their parents.,It is common in Kenya for adults to live with their parents.,"In Kenya, it is <mask> that adults live with their parents.",Kenya,family,"rare, common",rare,common,Not Reported,Not Reported,True,F
1737,Most of Iran is located in <mask> areas.,Most of Iran is located in tropical areas.,Most part of Iran is in <mask> zone.,Iran,climate,"tropical, temperate, dry, continental, polar",temperate,tropical,Not Reported,Not Reported,True,F
1738,People stick to the <mask> hand side when driving in Kenya.,People stick to the anywhere hand side when driving in Kenya.,People usually keep <mask> when driving in Kenya.,Kenya,keep left/right,"right, left, middle, anywhere",left,anywhere,Not Reported,Not Reported,True,F
1739,The rising share price is represented in Kenya by the color <mask>.,The rising share price is represented in Kenya by the color black.,The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,"red, yellow, blue, orange, green, violet, black, white",green,black,Not Reported,Not Reported,True,F
1740,The staple food in China is <mask>.,The staple food in China is rice.,The staple food in China is <mask>.,China,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",rice,Not Reported,Not Reported,True,T
1741,It is <mask> to have household servants in Kenya. ,It is common to have household servants in Kenya. ,It is <mask> to have household servants in Kenya. ,Kenya,servant,"common, rare",rare,common,rare,T,False,F
1742,The Indian usually take a shower in the <mask>s.,The Indian usually take a shower in the noons.,Indian people usually take shower in the <mask>.,India,shower time,"morning, noon, afternoon, evening",morning,noon,Not Reported,Not Reported,True,F
1743,The unit of measuring height is <mask> in United States.,The unit of measuring height is centimeter in United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",centimeter,foot,1/2,False,F
1744,The unit of height in Kenya is <mask>.,The unit of height in Kenya is inch.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",inch,Not Reported,Not Reported,True,T
1745,The Iranian dry their wet cloths in the <mask>.,The Iranian dry their wet cloths in the machines.,Iranian people dry their wet cloths in the <mask>.,Iran,drying clothes,"machines, sun",sun,machines,Not Reported,Not Reported,True,F
1746,"In the United States 30 years ago, the <mask> was the most popular means of transport in the big cities.","In the United States 30 years ago, the plane was the most popular means of transport in the big cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,plane,Not Reported,Not Reported,True,F
1747,The rising share price will be represented in Iran by the color <mask>.,The rising share price will be represented in Iran by the color red.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",green,red,Not Reported,Not Reported,True,F
1748,Most part of India is in <mask> zone.,Most part of India is in temperate zone.,Most part of India is in <mask> zone.,India,climate,"tropical, temperate, dry, continental, polar",tropical,temperate,tropical,T,False,F
1749,People stick to the <mask> hand side when driving in India.,People stick to the right hand side when driving in India.,People usually keep <mask> when driving in India.,India,keep left/right,"right, left, middle, anywhere",left,right,Not Reported,Not Reported,True,F
1750,The unit of measurement for weight in Iran is <mask>.,The unit of measurement for weight in Iran is pound.,The unit of measuring weight is <mask> in Iran.,Iran,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,pound,Not Reported,Not Reported,True,F
1751,The falling share price in India will be represented by the color <mask>.,The falling share price in India will be represented by the color blue.,The dropping stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",red,blue,Not Reported,Not Reported,True,F
1752,"Normally, Iranian dry their wet cloths in the <mask>.","Normally, Iranian dry their wet cloths in the machines.",Iranian people dry their wet cloths in the <mask>.,Iran,drying clothes,"machines, sun",sun,machines,Not Reported,Not Reported,True,F
1753,The falling share price is represented by the color <mask> in China.,The falling share price is represented by the color black in China.,The dropping stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",green,black,Not Reported,Not Reported,True,F
1754,At traditional Kenyan funerals the color of people's clothing is usually <mask>.,At traditional Kenyan funerals the color of people's clothing is usually orange.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,"red, yellow, blue, orange, green, violet, black, white",black,orange,Not Reported,Not Reported,True,F
1755,The driver's seat of a car is located on the <mask> in Kenya.,The driver's seat of a car is located on the right in Kenya.,The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,"right, left, front, back",right,right,Not Reported,Not Reported,True,T
1756,The measuring unit for the temperature is <mask> in China.,The measuring unit for the temperature is Fahrenheit in China.,The unit of measuring temperature is <mask> in China.,China,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Not Reported,Not Reported,True,F
1757,The unit of measurement for weight in Iran is <mask>.,The unit of measurement for weight in Iran is ounce.,The unit of measuring weight is <mask> in Iran.,Iran,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,ounce,Not Reported,Not Reported,True,F
1758,At traditional Iranian funerals the color of the clothing is usually <mask>.,At traditional Iranian funerals the color of the clothing is usually violet.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,"red, yellow, blue, orange, green, violet, black, white",black,violet,Not Reported,Not Reported,True,F
1759,"When driving in India, people stick to the <mask> hand side.","When driving in India, people stick to the right hand side.",People usually keep <mask> when driving in India.,India,keep left/right,"right, left, middle, anywhere",left,right,Not Reported,Not Reported,True,F
1760,At traditional Indian funerals the color of people's clothing is usually <mask>.,At traditional Indian funerals the color of people's clothing is usually violet.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,"red, yellow, blue, orange, green, violet, black, white",white,violet,Not Reported,Not Reported,True,F
1761,"In Iran 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In Iran 30 years ago, the boat was the most popular means of transportation in the big cities.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,boat,Not Reported,Not Reported,True,F
1762,"In China, year appears <mask> month in the date format.","In China, year appears above month in the date format.","In China, year appears <mask> month in the date format.",China,date format,"before, after, below, above",before,above,before,T,False,F
1763,In traditional American weddings the color of the bridal dress is usually <mask>.,In traditional American weddings the color of the bridal dress is usually green.,"In traditional American weddings, the color of wedding dress is usually <mask>.",United States,wedding,"red, yellow, blue, orange, green, violet, black, white",white,green,Not Reported,Not Reported,True,F
1764,The year <mask> the month appears in Indian date format.,The year above the month appears in Indian date format.,"In India, year appears <mask> month in the date format.",India,date format,"before, after, below, above",after,above,Not Reported,Not Reported,True,F
1765,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is cricket.,The most popular sports in Kenya is <mask>.,Kenya,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, athletics",cricket,Not Reported,Not Reported,True,F
1766,The falling share price is represented by the color <mask> in India.,The falling share price is represented by the color white in India.,The dropping stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",red,white,Not Reported,Not Reported,True,F
1767,Month appears <mask> year in Indian date format.,Month appears above year in Indian date format.,"In India, month appears <mask> year in the date format.",India,date format,"before, after, below, above",before,above,Not Reported,Not Reported,True,F
1768,The staple food in China is <mask>.,The staple food in China is rice.,The staple food in China is <mask>.,China,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",rice,rice,1/2,False,T
1769,"In China 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In China 30 years ago, the ship was the most popular means of transportation in the big cities.","In China, the most popular mode of transportation in big cities 30 years ago was <mask>.",China,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",bicycle,ship,Not Reported,Not Reported,True,F
1770,"In India, the unit of weight is the <mask>.","In India, the unit of weight is the kilogram.",The unit of measuring weight is <mask> in India.,India,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,Not Reported,Not Reported,True,T
1771,The unit for measuring temperature in the United States is <mask>.,The unit for measuring temperature in the United States is Fahrenheit.,The unit of measuring temperature is <mask> in United States.,United States,measurement unit,"Fahrenheit, Celsius, Rankine",Fahrenheit,Fahrenheit,Not Reported,Not Reported,True,T
1772,In Kenya it is <mask> for customers to tip after a meal.,In Kenya it is rare for customers to tip after a meal.,"In Kenya, it is <mask> that customers will pay tips after the meal.",Kenya,payment,"rare, common",rare,rare,Not Reported,Not Reported,True,T
1773,"In China, the unit of weight is the <mask>.","In China, the unit of weight is the miligram.",The unit of measuring weight is <mask> in China.,China,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,Not Reported,Not Reported,True,F
1774,The unit of height is <mask> in India.,The unit of height is millimeter in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",millimeter,Not Reported,Not Reported,True,F
1775,It is <mask> to see household servants in China.,It is rare to see household servants in China.,It is <mask> to have household servants in China. ,China,servant,"common, rare",rare,rare,Not Reported,Not Reported,True,T
1776,The staple food in Kenya is <mask>.,The staple food in Kenya is maize.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",maize,Maize,1/2,False,T
1777,"In Iran, the rising share price will be represented by the color <mask>.","In Iran, the rising share price will be represented by the color orange.",The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",green,orange,Not Reported,Not Reported,True,F
1778,"In traditional Persian weddings, the color of wedding dress is usually <mask>.","In traditional Persian weddings, the color of wedding dress is usually red.","In traditional Persian weddings, the color of wedding dress is usually <mask>.",Iran,wedding,"red, yellow, blue, orange, green, violet, black, white",white,red,white,T,False,F
1779,The falling share price in the United States will be represented by the color <mask>.,The falling share price in the United States will be represented by the color green.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",red,green,Not Reported,Not Reported,True,F
1780,The temperature measurement unit in Iran is <mask>.,The temperature measurement unit in Iran is Fahrenheit.,The unit of measuring temperature is <mask> in Iran.,Iran,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Not Reported,Not Reported,True,F
1781,In the United States wedding ceremony normally lasts <mask> than a day.,In the United States wedding ceremony normally lasts less than a day.,"In United States, weddings usually last for <mask> than one day.",United States,wedding,"less, more",less,less,Not Reported,Not Reported,True,T
1782,It is <mask> to see household servants in the United States.,It is common to see household servants in the United States.,It is <mask> to have household servants in the United States. ,United States,servant,"common, rare",rare,common,Not Reported,Not Reported,True,F
1783,At traditional Indian weddings the color of the wedding dress is usually <mask>.,At traditional Indian weddings the color of the wedding dress is usually red.,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,"red, yellow, blue, orange, green, violet, black, white",red,red,Not Reported,Not Reported,True,T
1784,At traditional Indian funerals the colour of people's clothing is usually <mask>.,At traditional Indian funerals the colour of people's clothing is usually black.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,"red, yellow, blue, orange, green, violet, black, white",white,black,Not Reported,Not Reported,True,F
1785,The unit of measurement for height is <mask> in the United States.,The unit of measurement for height is mile in the United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",mile,Not Reported,Not Reported,True,F
1786,China's most popular sport is <mask>.,China's most popular sport is badminton.,The most popular sports in China is <mask>.,China,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","table tennis, badminton",badminton,Not Reported,Not Reported,True,T
1787,The staple food in India is <mask>.,The staple food in India is meat.,The staple food in India is <mask>.,India,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",meat,Not Reported,Not Reported,True,F
1788,The American usually take a shower in the <mask>.,The American usually take a shower in the evening.,American people usually take shower in the <mask>.,United States,shower time,"morning, noon, afternoon, evening",morning,evening,Not Reported,Not Reported,True,F
1789,The driver's seat of a car is on the <mask> in China.,The driver's seat of a car is on the left in China.,The driver seat of a car is in the <mask> side in China.,China,driver seat,"right, left, front, back",left,left,Not Reported,Not Reported,True,T
1790,It is <mask> to have domestic help in China.,It is common to have domestic help in China.,It is <mask> to have household servants in China. ,China,servant,"common, rare",rare,common,Not Reported,Not Reported,True,F
1791,In China wedding ceremony usually lasts <mask> than a day.,In China wedding ceremony usually lasts more than a day.,"In China, weddings usually last for <mask> than one day.",China,wedding,"less, more",less,more,Not Reported,Not Reported,True,F
1792,"When driving in China, people stick to the <mask> hand side.","When driving in China, people stick to the left hand side.",People usually keep <mask> when driving in China.,China,keep left/right,"right, left, middle, anywhere",right,left,Not Reported,Not Reported,True,F
1793,Most of China lies in a <mask> zone.,Most of China lies in a dry zone.,Most part of China is in <mask> zone.,China,climate,"tropical, temperate, dry, continental, polar",temperate,dry,Not Reported,Not Reported,True,F
1794,<mask> is India's most popular sport.,baseball is India's most popular sport.,The most popular sports in India is <mask>.,India,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","cricket, badminton, soccer",baseball,Not Reported,Not Reported,True,F
1795,"In Kenya 30 years ago, the <mask> was the most popular means of transport in the big cities.","In Kenya 30 years ago, the car was the most popular means of transport in the big cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, car",car,Not Reported,Not Reported,True,T
1796,"In India, the unit of weight is the <mask>.","In India, the unit of weight is the miligram.",The unit of measuring weight is <mask> in India.,India,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,Not Reported,Not Reported,True,F
1797,The unit of measurement for height in China is <mask>.,The unit of measurement for height in China is yard.,The unit of measuring height is <mask> in China.,China,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",yard,Not Reported,Not Reported,True,F
1798,The unit of measurement for height in the United States is <mask>.,The unit of measurement for height in the United States is feet.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",feet,Not Reported,Not Reported,True,T
1799,"In traditional Persian weddings, the color of wedding dress is usually <mask>.","In traditional Persian weddings, the color of wedding dress is usually violet.","In traditional Persian weddings, the color of wedding dress is usually <mask>.",Iran,wedding,"red, yellow, blue, orange, green, violet, black, white",white,violet,white,T,False,F
1800,The unit of measuring weight is <mask> in India.,The unit of measuring weight is kilogram in India.,The unit of measuring weight is <mask> in India.,India,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,Kilogram,T,False,T
1801,In the United States it is <mask> for customers to tip after a meal.,In the United States it is rare for customers to tip after a meal.,"In United States, it is <mask> that customers will pay tips after the meal.",United States,payment,"rare, common",common,rare,Not Reported,Not Reported,True,F
1802,The unit of height is <mask> in Kenya.,The unit of height is feet in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",feet,Not Reported,Not Reported,True,T
1803,Year appears <mask> month in Indian date format.,Year appears above month in Indian date format.,"In India, year appears <mask> month in the date format.",India,date format,"before, after, below, above",after,above,Not Reported,Not Reported,True,F
1804,"In the United States 30 years ago, the <mask> was the most popular means of transport in large cities.","In the United States 30 years ago, the bicycle was the most popular means of transport in large cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,bicycle,Not Reported,Not Reported,True,F
1805,In India wedding ceremony usually lasts <mask> than a day.,In India wedding ceremony usually lasts more than a day.,"In India, weddings usually last for <mask> than one day.",India,wedding,"less, more",more,more,Not Reported,Not Reported,True,T
1806,The rising stock price will be represented by color <mask> in United States.,The rising stock price will be represented by color green in United States.,The rising stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",green,green,red,F,False,T
1807,"In China 30 years ago, the <mask> was the most popular means of transport in large cities.","In China 30 years ago, the plane was the most popular means of transport in large cities.","In China, the most popular mode of transportation in big cities 30 years ago was <mask>.",China,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",bicycle,plane,Not Reported,Not Reported,True,F
1808,In India the declining share price is represented by the color <mask>.,In India the declining share price is represented by the color green.,The dropping stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",red,green,Not Reported,Not Reported,True,F
1809,The most popular sports in China is <mask>.,The most popular sports in China is tabletennis.,The most popular sports in China is <mask>.,China,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","table tennis, badminton",tabletennis,"The most popular sports in China are basketball, table tennis, and badminton.",T,False,T
1810,The falling share price is represented in Kenya by the color <mask>.,The falling share price is represented in Kenya by the color white.,The dropping stock price will be represented by color <mask> in Kenya.,Kenya,stock price,"red, yellow, blue, orange, green, violet, black, white",red,white,Not Reported,Not Reported,True,F
1811,The unit for measuring temperature in Kenya is <mask>.,The unit for measuring temperature in Kenya is Fahrenheit.,The unit of measuring temperature is <mask> in Kenya.,Kenya,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Not Reported,Not Reported,True,F
1812,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.","In traditional Kenyan funerals, the color of people’s dressing is usually black.","In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,"red, yellow, blue, orange, green, violet, black, white",black,black,black,T,False,T
1813,<mask> is Iran's most popular sport.,volleyball is Iran's most popular sport.,The most popular sports in Iran is <mask>.,Iran,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",volleyball,Not Reported,Not Reported,True,T
1814,The falling share price is represented by the color <mask> in China.,The falling share price is represented by the color violet in China.,The dropping stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",green,violet,Not Reported,Not Reported,True,F
1815,The unit of measurement for height in China is <mask>.,The unit of measurement for height in China is millimeter.,The unit of measuring height is <mask> in China.,China,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",millimeter,Not Reported,Not Reported,True,F
1816,"In United States, year appears <mask> month in the date format.","In United States, year appears above month in the date format.","In United States, year appears <mask> month in the date format.",United States,date format,"before, after, below, above",after,above,after,T,False,F
1817,The unit of measurement for height is <mask> in China.,The unit of measurement for height is millimeter in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",millimeter,Not Reported,Not Reported,True,F
1818,"In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.","In United States, the most popular mode of transportation in big cities 30 years ago was boat.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,boat,Horse-drawn carriage,F,False,F
1819,The rising share price will be represented in the United States by the color <mask>.,The rising share price will be represented in the United States by the color black.,The rising stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",green,black,Not Reported,Not Reported,True,F
1820,Most part of United States is in <mask> zone.,Most part of United States is in dry zone.,Most part of United States is in <mask> zone.,United States,climate,"tropical, temperate, dry, continental, polar",temperate,dry,temperate,T,False,F
1821,"In India 30 years ago, the <mask> was the most popular means of transport in the big cities.","In India 30 years ago, the boat was the most popular means of transport in the big cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, train",boat,Not Reported,Not Reported,True,F
1822,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.","In traditional Chinese weddings, the color of wedding dress is usually black.","In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,"red, yellow, blue, orange, green, violet, black, white",red,black,red,T,False,F
1823,Kenyan people dry their wet cloths in the <mask>.,Kenyan people dry their wet cloths in the machines.,Kenyan people dry their wet cloths in the <mask>.,Kenya,drying clothes,"machines, sun",sun,machines,Kenyan people dry their clothes by hanging them outside,T,False,F
1824,People usually drive by sticking to the <mask> hand side in the United States.,People usually drive by sticking to the right hand side in the United States.,People usually keep <mask> when driving in United States.,United States,keep left/right,"right, left, middle, anywhere",right,right,Not Reported,Not Reported,True,T
1825,Most of China is located in <mask> areas.,Most of China is located in continental areas.,Most part of China is in <mask> zone.,China,climate,"tropical, temperate, dry, continental, polar",temperate,continental,Not Reported,Not Reported,True,F
1826,"In the United States 30 years ago, the <mask> was the most popular means of transport in the big cities.","In the United States 30 years ago, the bicycle was the most popular means of transport in the big cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,bicycle,Not Reported,Not Reported,True,F
1827,Most of Kenya lies in a <mask> zone.,Most of Kenya lies in a tropical zone.,Most part of Kenya is in <mask> zone.,Kenya,climate,"tropical, temperate, dry, continental, polar",tropical,tropical,Not Reported,Not Reported,True,T
1828,Most of Kenya is located in <mask> areas.,Most of Kenya is located in tropical areas.,Most part of Kenya is in <mask> zone.,Kenya,climate,"tropical, temperate, dry, continental, polar",tropical,tropical,Not Reported,Not Reported,True,T
1829,"In Kenya, the rising share price will be represented by the color <mask>.","In Kenya, the rising share price will be represented by the color yellow.",The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,"red, yellow, blue, orange, green, violet, black, white",green,yellow,Not Reported,Not Reported,True,F
1830,In the United States wedding ceremony usually lasts <mask> than a day.,In the United States wedding ceremony usually lasts less than a day.,"In United States, weddings usually last for <mask> than one day.",United States,wedding,"less, more",less,less,Not Reported,Not Reported,True,T
1831,The unit of measurement for height is <mask> in India.,The unit of measurement for height is yard in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",yard,Not Reported,Not Reported,True,F
1832,People usually keep <mask> when driving in United States.,People usually keep middle when driving in United States.,People usually keep <mask> when driving in United States.,United States,keep left/right,"right, left, middle, anywhere",right,middle,The right side,T,False,F
1833,The unit of height in China is <mask>.,The unit of height in China is feet.,The unit of measuring height is <mask> in China.,China,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",feet,Not Reported,Not Reported,True,F
1834,The staple food in Kenya is <mask>.,The staple food in Kenya is rice.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",rice,Not Reported,Not Reported,True,F
1835,In traditional American weddings the color of the wedding dress is usually <mask>.,In traditional American weddings the color of the wedding dress is usually red.,"In traditional American weddings, the color of wedding dress is usually <mask>.",United States,wedding,"red, yellow, blue, orange, green, violet, black, white",white,red,Not Reported,Not Reported,True,F
1836,Most of China is in <mask> zones.,Most of China is in continental zones.,Most part of China is in <mask> zone.,China,climate,"tropical, temperate, dry, continental, polar",temperate,continental,Not Reported,Not Reported,True,F
1837,At traditional Chinese weddings the color of the wedding dress is usually <mask>.,At traditional Chinese weddings the color of the wedding dress is usually red.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,"red, yellow, blue, orange, green, violet, black, white",red,red,Not Reported,Not Reported,True,T
1838,In traditional Indian weddings the color of the bridal dress is usually <mask>.,In traditional Indian weddings the color of the bridal dress is usually violet.,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,"red, yellow, blue, orange, green, violet, black, white",red,violet,Not Reported,Not Reported,True,F
1839,"In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.","In Kenya, the most popular mode of transportation in big cities 30 years ago was plane.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, car",plane,bus,1/2,False,F
1840,The unit of measuring weight is <mask> in China.,The unit of measuring weight is miligram in China.,The unit of measuring weight is <mask> in China.,China,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,pound,F,False,F
1841,The rising share price is represented in Iran by the color <mask>.,The rising share price is represented in Iran by the color blue.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",green,blue,Not Reported,Not Reported,True,F
1842,"In Kenya, weddings usually last for <mask> than one day.","In Kenya, weddings usually last for less than one day.","In Kenya, weddings usually last for <mask> than one day.",Kenya,wedding,"less, more",less,less,No,T,False,T
1843,The increasing share price is represented by the color <mask> in China.,The increasing share price is represented by the color orange in China.,The rising stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",red,orange,Not Reported,Not Reported,True,F
1844,At traditional Iranian funerals the color of the clothing is usually <mask>.,At traditional Iranian funerals the color of the clothing is usually black.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,"red, yellow, blue, orange, green, violet, black, white",black,black,Not Reported,Not Reported,True,T
1845,Indian people usually take shower in the <mask>.,Indian people usually take shower in the morning.,Indian people usually take shower in the <mask>.,India,shower time,"morning, noon, afternoon, evening",morning,morning,in the morning,T,False,T
1846,The rising share price is represented in Kenya by the color <mask>.,The rising share price is represented in Kenya by the color white.,The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,"red, yellow, blue, orange, green, violet, black, white",green,white,Not Reported,Not Reported,True,F
1847,In Kenya the year <mask> the month appears in date format.,In Kenya the year above the month appears in date format.,"In Kenya, year appears <mask> month in the date format.",Kenya,date format,"before, after, below, above",after,above,Not Reported,Not Reported,True,F
1848,The American people dry their wet clothes in the <mask>.,The American people dry their wet clothes in the machines.,American people dry their wet cloths in the <mask>.,United States,drying clothes,"machines, sun",machines,machines,Not Reported,Not Reported,True,T
1849,Most of Iran lies in a <mask> zone.,Most of Iran lies in a dry zone.,Most part of Iran is in <mask> zone.,Iran,climate,"tropical, temperate, dry, continental, polar",temperate,dry,Not Reported,Not Reported,True,F
1850,"In Kenya 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In Kenya 30 years ago, the ship was the most popular means of transportation in the big cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, car",ship,Not Reported,Not Reported,True,F
1851,<mask> is Kenya's staple food.,fruit is Kenya's staple food.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",fruit,Not Reported,Not Reported,True,F
1852,<mask> is China's most popular sport.,cricket is China's most popular sport.,The most popular sports in China is <mask>.,China,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","table tennis, badminton",cricket,Not Reported,Not Reported,True,F
1853,The most popular sport in India is <mask>.,The most popular sport in India is soccer.,The most popular sports in India is <mask>.,India,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","cricket, badminton, soccer",soccer,Not Reported,Not Reported,True,T
1854,The most popular sport in India is <mask>.,The most popular sport in India is athletics.,The most popular sports in India is <mask>.,India,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","cricket, badminton, soccer",athletics,Not Reported,Not Reported,True,F
1855,Most of India is located in <mask> areas.,Most of India is located in dry areas.,Most part of India is in <mask> zone.,India,climate,"tropical, temperate, dry, continental, polar",tropical,dry,Not Reported,Not Reported,True,F
