,choice0,choice1,choice2,question,ans,context,country
771,mile,yard,meter, What is the unit of height in Iran?,2,measurement unit,Iran
772,machines,sun,bathroom, What do Americans dry their clothes in?,1,drying clothes,United States
773,green,orange,red, What color is the wedding dress in Kenya?,2,wedding,Kenya
774,odd,rare,common, Is it rare or rare for people in India to drink hot water?,1,food and drink,India
775,bicycle,boat,train, What was the most popular means of transportation in the US 30 years ago?,2,transportation,United States
776,fruit,bread,maize, What is Iran's main staple food?,1,food and drink,Iran
777,cricket,badminton,football, What is the most popular sport in the United States?,1,sports,United States
778,cricket,tabletennis,basketball, What is the most popular sport in China?,1,sports,China
779,Fahrenheit,Celsius,Rankine, What is the temperature unit in the United States?,1,measurement unit,United States
780,blue,yellow,green, What color is the clothing at traditional Iranian funerals?,2,funeral,Iran
781,feet,inch,meter, What is the unit of height in India?,1,measurement unit,India
782,noon,evening,morning, What time of day do Kenyans usually take a shower?,2,shower time,Kenya
783,yellow,black,green, What color is the rising share price represented by in China?,1,stock price,China
784,after,above,before, What month in Iran appears in date format?,2,date format,Iran
785,tropical,continental,temperate, What type of climate is most of the US?,2,climate,United States
786,fork,chopsticks,knife, What do Kenyans usually eat?,1,food and drink,Kenya
787,white,violet,orange, What color will represent the stock price in Kenya?,0,stock price,Kenya
788,baseball,cricket,tabletennis, What is the most popular sport in Iran?,2,sports,Iran
789,tabletennis,football,volleyball, What is the most popular sport in India?,2,sports,India
790,bus,car,bicycle, What was the most popular means of transportation in Kenya 30 years ago?,2,transportation,Kenya
791,below,before,after, What month does Kenyan date format show the year after?,2,date format,Kenya
792,black,green,red, What color will represent the rising share price in India?,1,stock price,India
793,common,rare,odd, Is it common for Indians to pay tips after a meal?,0,payment,India
794,tropical,dry,polar, What type of areas is most of Kenya?,0,climate,Kenya
795,yellow,red,blue, What color is the bridal dress in Iran?,1,wedding,Iran
796,noodles,potato,meat, What is the main food in the United States?,0,food and drink,United States
797,back,left,right, Where is the driver's seat located in China?,2,driver seat,China
798,cricket,soccer,athletics, What is the most popular sport in China?,1,sports,China
799,tropical,continental,temperate, What type of climate is most of Kenya?,2,climate,Kenya
800,after,below,above, What month appears in date format in China?,0,date format,China
801,badminton,volleyball,basketball, What is the most popular sport in China?,2,sports,China
802,car,ship,bicycle, What was the most popular means of transportation in Iran 30 years ago?,0,transportation,Iran
803,chopsticks,knife,fork, What do Chinese eat food with?,2,food and drink,China
804,bread,rice,vegetable, What is the main food in India?,2,food and drink,India
805,black,violet,red, What color is the clothing of a funeral usually?,0,funeral,United States
806,red,black,blue, What color will represent the stock price in Kenya?,0,stock price,Kenya
807,black,green,blue, What color is the wedding dress in Iran?,0,wedding,Iran
808,basketball,athletics,tabletennis, What is the most popular sport in Iran?,2,sports,Iran
809,below,before,above, What month in the US does the year appear in?,1,date format,United States
810,orange,red,white, What color is the rising share price represented by in China?,1,stock price,China
811,black,blue,yellow, What color is used to represent the declining share price in India?,0,stock price,India
812,below,above,before, What year does the Chinese calendar appear in?,2,date format,China
813,tropical,polar,continental, What type of zone is most of the US?,0,climate,United States
814,more,none,less, How long does a wedding in India last?,0,wedding,India
815,soccer,cricket,baseball, What is the most popular sport in India?,2,sports,India
816,right,left,front," In India, the driver seat is on which side?",1,driver seat,India
817,ship,bus,train, What was the most popular means of transportation in India 30 years ago?,2,transportation,India
818,violet,orange,red, What color is the rising share price represented by in Kenya?,2,stock price,Kenya
819,sun,machines,bathroom, Where do Iranians usually dry their clothes?,1,drying clothes,Iran
820,middle,anywhere,left, What side of the road do people in the US stick to?,2,keep left/right,United States
821,rare,odd,common, Is it rare or rare for adults to live with their parents in India?,0,family,India
822,white,blue,violet, What color is Iran's share price represented by?,0,stock price,Iran
823,polar,tropical,temperate, What type of areas are most of India?,2,climate,India
824,temperate,tropical,polar, What type of zone does most of China lie in?,1,climate,China
825,badminton,cricket,tabletennis, What is the most popular sport in the US?,2,sports,United States
826,bicycle,train,ship, What was the most popular mode of transportation in Kenya 30 years ago?,1,transportation,Kenya
827,white,red,yellow, What color is the share price represented by in Kenya?,1,stock price,Kenya
828,more,less,none, How long does a wedding in India last?,0,wedding,India
829,rare,common,odd, Is it common to see household servants in Iran?,1,servant,Iran
830,dry,temperate,continental, What type of zone is Iran?,1,climate,Iran
831,blue,orange,green, What color is the bridal dress in traditional Chinese weddings?,2,wedding,China
832,after,above,before," In the United States, year appears after what month?",0,date format,United States
833,right,back,front," In India, where is the driver's seat located?",0,driver seat,India
834,below,after,above," In India, month appears after year in the date format?",1,date format,India
835,pound,ounce,miligram, What is the unit of measurement of weight in the United States?,0,measurement unit,United States
836,boat,metro,bicycle, What was the most popular mode of transportation in the US 30 years ago?,2,transportation,United States
837,cricket,badminton,tabletennis, What is the most popular sport in Kenya?,0,sports,Kenya
838,knife,chopsticks,hand, What do Kenyans usually eat?,1,food and drink,Kenya
839,polar,dry,temperate, What type of zone is most of China?,2,climate,China
840,maize,noodles,fruit, What is Iran's staple food?,1,food and drink,Iran
841,soccer,cricket,tabletennis, What is India's most popular sport?,1,sports,India
842,orange,black,yellow, What color will represent the rising share price in Iran?,1,stock price,Iran
843,white,orange,blue, What color is the bridal dress in traditional American weddings?,0,wedding,United States
844,violet,white,green, What color is the clothing at traditional Iranian funerals?,1,funeral,Iran
845,white,violet,yellow, What color will represent the rising share price in Kenya?,0,stock price,Kenya
846,green,white,orange, What color will represent the dropping stock price in the United States?,0,stock price,United States
847,train,plane,car, What was the most popular mode of transportation in the US 30 years ago?,2,transportation,United States
848,bread,maize,rice, What is Iran's main food?,0,food and drink,Iran
849,baseball,tabletennis,volleyball, What is the most popular sport in the US?,1,sports,United States
850,temperate,tropical,continental, What type of zone does most of the US reside in?,1,climate,United States
851,white,black,orange, What color is the Chinese stock market?,0,stock price,China
852,orange,white,black, What color is the increasing share price represented by in India?,1,stock price,India
853,evening,afternoon,morning, When do Chinese people usually shower?,0,shower time,China
854,Celsius,Rankine,Fahrenheit, What is the temperature unit in Kenya?,0,measurement unit,Kenya
855,noodles,fruit,maize, What is China's staple food?,2,food and drink,China
856,white,red,green, What color is the rising share price represented by in Kenya?,2,stock price,Kenya
857,chopsticks,knife,spoon, What do Americans usually eat?,0,food and drink,United States
858,common,odd,rare, Is drinking hot water common in Kenya?,0,food and drink,Kenya
859,odd,common,rare, Is tipping common or rare in the US?,2,payment,United States
860,white,yellow,green, What color will represent the falling share price in Kenya?,0,stock price,Kenya
861,rare,common,odd, Is sharing food rare or rare in Kenya?,0,food and drink,Kenya
862,centimeter,meter,mile, What is the unit of measurement in Iran?,0,measurement unit,Iran
863,below,after,before, When does Iranian date format show the year?,2,date format,Iran
864,black,blue,green, What color is the dressing of Chinese funerals usually?,2,funeral,China
865,temperate,polar,dry, What type of zone is Iran?,0,climate,Iran
866,athletics,baseball,basketball, What is Kenya's most popular sport?,2,sports,Kenya
867,odd,common,rare, How often do adults live with their parents in Iran?,2,family,Iran
868,above,before,below, What year does the month appear in Kenyan date format?,1,date format,Kenya
869,middle,right,anywhere, What do people usually keep when driving in India?,1,keep left/right,India
870,mile,centimeter,meter, What is the unit of measurement for height in Kenya?,1,measurement unit,Kenya
871,fork,hand,chopsticks, What do Americans usually eat food with?,1,food and drink,United States
872,more,none,less, How long does a wedding in Iran last?,2,wedding,Iran
873,right,middle,anywhere, What side of the road do people in Kenya stick to?,0,keep left/right,Kenya
874,metro,bus,train, What was the most popular means of transportation in the US 30 years ago?,1,transportation,United States
875,meter,centimeter,millimeter, What is the unit of height in the United States?,1,measurement unit,United States
876,before,below,above, What year does the month appear in Chinese?,0,date format,China
877,baseball,badminton,cricket, What is the most popular sport in China?,1,sports,China
878,knife,chopsticks,spoon, What do Americans usually eat when eating?,2,food and drink,United States
879,common,rare,odd, How often do adults live with their parents in China?,1,family,China
880,front,left,back," In the United States, the driver seat is on which side?",1,driver seat,United States
881,knife,fork,spoon, What do people in China usually eat food with?,1,food and drink,China
882,white,red,yellow, What color will represent the rising stock price in the United States?,1,stock price,United States
883,noon,afternoon,morning, When do the Chinese take a shower?,2,shower time,China
884,yellow,white,green, What color is the clothing of Chinese funerals usually?,1,funeral,China
885,tropical,temperate,polar, What type of zone is Iran?,0,climate,Iran
886,above,after,before, What month appears in Iranian date format?,1,date format,Iran
887,black,white,yellow, What color will represent the falling share price in India?,0,stock price,India
888,fruit,bread,noodles, What is the staple food in the United States?,1,food and drink,United States
889,bathroom,machines,sun, What do Kenyans normally dry their clothes in?,2,drying clothes,Kenya
890,machines,sun,bathroom, Where do Chinese people dry their wet cloths?,0,drying clothes,China
891,common,rare,odd, Is sharing food rare or rare in Kenya?,1,food and drink,Kenya
892,black,yellow,orange, What color is the falling share price represented by in India?,0,stock price,India
893,meter,yard,mile, What is the unit of height in India?,0,measurement unit,India
894,odd,common,rare, Is domestic help common in India?,1,servant,India
895,inch,centimeter,millimeter, What is the unit of height in Iran?,1,measurement unit,Iran
896,vegetable,potato,noodles, What is the main staple food in China?,0,food and drink,China
897,odd,rare,common, Is it rare or rare to see people drink hot water in Kenya?,1,food and drink,Kenya
898,yellow,red,white, What color will represent the rising share price in the US?,2,stock price,United States
899,blue,violet,green, What color will the stock price in India be represented by?,2,stock price,India
900,before,above,after, What is the year before month in China?,0,date format,China
901,metro,boat,bicycle, What was the most popular means of transport in Iran 30 years ago?,2,transportation,Iran
902,red,black,yellow, What color is the wedding dress in Iran?,1,wedding,Iran
903,left,anywhere,middle, What side of the road do people in Kenya stick to?,0,keep left/right,Kenya
904,pound,kilogram,ounce, What is the unit of measurement in Iran?,0,measurement unit,Iran
905,hand,chopsticks,knife, What do the Chinese usually eat food with?,0,food and drink,China
906,volleyball,basketball,baseball, What is India's most popular sport?,0,sports,India
907,white,orange,red, What color is the Chinese stock market?,2,stock price,China
908,chopsticks,hand,knife, What do the Chinese usually eat?,0,food and drink,China
909,common,rare,odd, Is it rare or rare to see people drink hot water in Kenya?,1,food and drink,Kenya
910,right,front,left, On which side of the Chinese market is the driver's seat located?,2,driver seat,China
911,yellow,green,violet, What color is the wedding dress in traditional Indian weddings?,1,wedding,India
912,white,black,violet, What color is the clothing of Indian funerals usually?,1,funeral,India
913,none,less,more, How long does a wedding in Kenya last?,1,wedding,Kenya
914,tropical,temperate,polar, What type of zone does most of China lie in?,1,climate,China
915,odd,common,rare, Is it common for people to clean the floor with brooms in the United States?,1,broom usage,United States
916,rare,common,odd, Is sharing food common in Iran?,1,food and drink,Iran
917,odd,common,rare, Is it common for adults to live with their parents in India?,1,family,India
918,black,violet,white, What color is the wedding dress in traditional Chinese weddings?,0,wedding,China
919,yellow,white,red, What color is the clothing at traditional Indian funerals?,1,funeral,India
920,right,middle,left, What side of the road do people in India usually stick to?,2,keep left/right,India
921,odd,common,rare, Is it common for adults to live with their parents in China?,1,family,China
922,violet,green,orange, What color is the bridal dress in traditional Kenyan weddings?,1,wedding,Kenya
923,ounce,pound,kilogram, What is the unit of measurement in Iran?,2,measurement unit,Iran
924,knife,fork,chopsticks, What do the Iranians usually eat?,2,food and drink,Iran
925,mile,meter,kilometer, What is the unit of height in Kenya?,1,measurement unit,Kenya
926,green,violet,yellow, What color is the wedding dress in Iran?,0,wedding,Iran
927,front,right,left," In China, the driver's seat is on which side?",1,driver seat,China
928,soccer,badminton,cricket, What is Kenya's most popular sport?,2,sports,Kenya
929,odd,rare,common, How often do people in Iran use a broom to clean their floors?,1,broom usage,Iran
930,red,black,white, What color is the wedding dress in traditional American weddings?,2,wedding,United States
931,black,white,yellow, What color is the bridal dress in traditional American weddings?,0,wedding,United States
932,spoon,chopsticks,knife, What do Chinese eat most of their food with?,0,food and drink,China
933,sun,bathroom,machines, What do Kenyans dry their clothes in?,0,drying clothes,Kenya
934,athletics,tabletennis,badminton, What is Iran's most popular sport?,2,sports,Iran
935,white,black,red, What color is the clothing at traditional Kenyan funerals?,1,funeral,Kenya
936,centimeter,yard,kilometer, What is the unit of measurement for height in India?,0,measurement unit,India
937,yellow,black,green, What color will represent the rising share price in the United States?,2,stock price,United States
938,black,violet,green, What color is the wedding dress in traditional Chinese weddings?,0,wedding,China
939,common,rare,odd, Is it rare or rare that customers pay tips after a meal?,1,payment,Kenya
940,pound,gram,kilogram, What is the unit of measurement for weight in India?,2,measurement unit,India
941,rare,common,odd, Is drinking hot water common in China?,1,food and drink,China
942,bus,boat,bicycle, What was the most popular means of transportation in India 30 years ago?,2,transportation,India
943,noodles,rice,maize, What is Iran's staple food?,2,food and drink,Iran
944,boat,car,metro, What was the most popular means of transportation in China 30 years ago?,1,transportation,China
945,car,ship,train, What was the most popular means of transport in India 30 years ago?,0,transportation,India
946,evening,afternoon,morning, When do Iranians usually take a shower?,0,shower time,Iran
947,common,rare,odd, Is domestic help common in China?,0,servant,China
948,above,after,below," In India, year appears after what month?",1,date format,India
949,odd,rare,common, Is it common to see household servants in Kenya?,2,servant,Kenya
950,soccer,cricket,athletics, What is India's most popular sport?,0,sports,India
951,red,yellow,white, What color is the bridal dress in Kenya?,0,wedding,Kenya
952,right,left,anywhere, What side of the road do people in Kenya stick to?,1,keep left/right,Kenya
953,bread,rice,noodles, What is the US's staple food?,1,food and drink,United States
954,odd,common,rare, Is drinking hot water common or uncommon in the United States?,1,food and drink,United States
955,left,right,anywhere, What side of the road do people in the US stick to?,1,keep left/right,United States
956,maize,meat,noodles, What is the US's staple food?,2,food and drink,United States
957,cricket,basketball,baseball, What is the most popular sport in the US?,1,sports,United States
958,fruit,rice,potato, What is the main staple food in Kenya?,1,food and drink,Kenya
959,common,rare,odd, Is it rare or rare for people in Iran to drink hot water?,1,food and drink,Iran
960,feet,mile,centimeter, What is the unit of measurement in China?,2,measurement unit,China
961,athletics,badminton,basketball, What is the most popular sport in Kenya?,1,sports,Kenya
962,right,back,left," In China, the driver seat is on which side?",0,driver seat,China
963,athletics,tabletennis,baseball, What is the most popular sport in China?,1,sports,China
964,violet,blue,red, What color will represent the rising stock price in China?,2,stock price,China
965,Rankine,Fahrenheit,Celsius, What is the unit of measurement for temperature in India?,2,measurement unit,India
966,inch,mile,meter, What is the unit of measurement for height in the United States?,0,measurement unit,United States
967,white,black,blue, What color is the clothing of Indian funerals usually?,0,funeral,India
968,badminton,athletics,baseball, What is the most popular sport in India?,1,sports,India
969,chopsticks,hand,spoon, What do Indians usually eat food with?,1,food and drink,India
970,blue,orange,green, What color will represent the dropping stock price in China?,2,stock price,China
971,soccer,basketball,badminton, What is the most popular sport in Kenya?,2,sports,Kenya
972,noon,evening,morning, When do Iranians usually shower?,2,shower time,Iran
973,meter,yard,mile, What is the unit of height in China?,0,measurement unit,China
974,continental,dry,temperate, What type of zone is the majority of the US?,2,climate,United States
975,fork,hand,knife, What do people in Kenya usually eat food with?,0,food and drink,Kenya
976,badminton,soccer,baseball, What is the most popular sport in Iran?,0,sports,Iran
977,train,bus,bicycle, What was the most popular means of transport in Iran 30 years ago?,1,transportation,Iran
978,red,blue,orange, What color is the wedding dress in Iran?,0,wedding,Iran
979,above,after,below, What month appears in American date format?,1,date format,United States
980,tropical,temperate,continental, What type of zones does Iran have?,0,climate,Iran
981,odd,rare,common, Is tipping common or not?,2,payment,Kenya
982,kilometer,meter,mile, What is the unit of height in the United States?,1,measurement unit,United States
983,blue,red,black, What color is used to represent the declining share price in Kenya?,1,stock price,Kenya
984,fork,knife,hand, What do Chinese people usually eat food with?,1,food and drink,China
985,left,right,anywhere, What side of the road do most people in the US drive?,0,keep left/right,United States
986,evening,morning,noon, When do Kenyans usually shower?,0,shower time,Kenya
987,green,yellow,red, What color is the dressing of funerals in Kenya?,2,funeral,Kenya
988,knife,hand,chopsticks, What do people in Kenya usually eat?,2,food and drink,Kenya
989,violet,orange,green, What color is the share price represented by in Kenya?,2,stock price,Kenya
990,red,black,green, What color is the Chinese share price represented by?,2,stock price,China
991,kilometer,inch,millimeter, What is the unit of measurement for height in India?,1,measurement unit,India
992,white,violet,red, What color will be used to represent the dropping stock price in India?,2,stock price,India
993,bicycle,car,metro, What was the most popular means of transportation in India 30 years ago?,0,transportation,India
994,hand,chopsticks,fork, What do Americans usually eat food with?,0,food and drink,United States
995,miligram,kilogram,pound, What is Iran's unit of measurement of weight?,2,measurement unit,Iran
996,knife,fork,spoon, What do Iranians usually eat food with?,1,food and drink,Iran
997,violet,green,white, What color is the clothing at traditional Kenyan funerals?,1,funeral,Kenya
998,athletics,cricket,baseball, What is the most popular sport in Iran?,1,sports,Iran
999,maize,potato,rice, What is India's staple food?,0,food and drink,India
1000,car,metro,train, What was the most popular means of transportation in Kenya 30 years ago?,2,transportation,Kenya
1001,black,green,yellow, What color will represent the falling share price in Iran?,0,stock price,Iran
1002,after,before,above, What month does the year appear in indian format?,1,date format,India
1003,back,left,front," In China, the driver's seat is located on which side?",1,driver seat,China
1004,tropical,polar,continental, What type of areas is most of China?,0,climate,China
1005,below,above,before," In China, month appears before year in the date format?",2,date format,China
1006,common,rare,odd, Is it rare or rare to see people drink hot water in India?,1,food and drink,India
1007,below,before,after," In India, month appears before year in the date format?",1,date format,India
1008,chopsticks,fork,hand, What do people in China usually eat?,0,food and drink,China
1009,after,before,below," In the United States, month appears after year in the date format?",0,date format,United States
1010,bread,vegetable,noodles, What is the staple food in India?,0,food and drink,India
1011,rare,odd,common, Is it rare or rare for people in Iran to clean the floor with brooms?,0,broom usage,Iran
1012,feet,inch,meter, What is the unit of measurement in the United States?,2,measurement unit,United States
1013,sun,machines,bathroom, What do Indians usually dry their clothes in?,0,drying clothes,India
1014,anywhere,left,right, What side of the road do Iranians usually stick to?,1,keep left/right,Iran
1015,odd,common,rare, Is it common for customers to pay tips after eating in China?,1,payment,China
1016,above,below,before," In India, the year before the month appears in date format?",2,date format,India
1017,common,odd,rare, What is it like to use brooms to clean the floor in Kenya?,0,broom usage,Kenya
1018,pound,gram,kilogram, What is the unit of measurement for weight in the United States?,0,measurement unit,United States
1019,bicycle,boat,train, What was the most popular mode of transportation in China 30 years ago?,2,transportation,China
1020,athletics,football,baseball, What is the most popular sport in the US?,0,sports,United States
1021,rare,odd,common, Is it rare or rare for adults to live with their parents in the US?,0,family,United States
1022,rare,common,odd, Is sharing food rare or rare in India?,0,food and drink,India
1023,white,black,red, What color will represent the falling share price in Iran?,0,stock price,Iran
1024,common,rare,odd, Is it rare or rare for customers to pay tips after eating?,1,payment,India
1025,rare,common,odd, Is domestic help common in Kenya?,1,servant,Kenya
1026,kilogram,ounce,miligram, What is Iran's unit of measurement of weight?,0,measurement unit,Iran
1027,volleyball,cricket,football, What is the most popular sport in India?,2,sports,India
1028,red,green,black, What color is the wedding dress in traditional Indian weddings?,0,wedding,India
1029,orange,yellow,green, What color is the dressing of Persian funerals?,2,funeral,Iran
1030,knife,hand,fork, What do Indians usually eat food with?,2,food and drink,India
1031,violet,green,white, What color is the increasing share price represented by in India?,1,stock price,India
1032,common,rare,odd, Is it common for adults to live with their parents in the United States?,0,family,United States
1033,yellow,white,red, What color will represent the dropping stock price in the United States?,2,stock price,United States
1034,train,bicycle,car, What was the most popular means of transport in the US 30 years ago?,2,transportation,United States
1035,black,green,blue, What color is the dressing of a traditional Chinese funeral?,0,funeral,China
1036,odd,rare,common, Is it common or common for people to clean the floor with brooms?,2,broom usage,China
1037,odd,rare,common, Is it rare or rare for adults to live with their parents in the US?,1,family,United States
1038,orange,green,black, What color is Iran's share price represented by?,1,stock price,Iran
1039,plane,train,bus, What was the most popular means of transportation in China 30 years ago?,2,transportation,China
1040,cricket,football,soccer, What is Iran's most popular sport?,0,sports,Iran
1041,rare,odd,common, How often do people in India use brooms to clean their floors?,0,broom usage,India
1042,morning,evening,afternoon, When do Kenyans normally shower?,1,shower time,Kenya
1043,spoon,hand,fork, What do Americans usually eat when eating?,0,food and drink,United States
1044,bathroom,sun,machines, Where do Chinese people dry their clothes?,2,drying clothes,China
1045,odd,common,rare, Are domestic servants common in the United States?,1,servant,United States
1046,bathroom,sun,machines, Where do people in India dry their clothes?,2,drying clothes,India
1047,cricket,baseball,athletics, What is the most popular sport in Kenya?,2,sports,Kenya
1048,odd,rare,common, Is it rare or rare for adults to stay with their parents in the US?,1,family,United States
1049,cricket,football,soccer, What is India's most popular sport?,1,sports,India
1050,green,red,black, What color will represent the rising stock price in India?,2,stock price,India
1051,bathroom,machines,sun, What do Chinese people dry their clothes in?,2,drying clothes,China
1052,odd,common,rare, Is it rare or rare that customers pay tips after a meal?,2,payment,Iran
1053,meter,yard,millimeter, What is the unit of measurement in Iran?,0,measurement unit,Iran
1054,meter,kilometer,yard, What is the unit of measurement in India?,0,measurement unit,India
1055,mile,meter,inch, What is the unit of height in the United States?,2,measurement unit,United States
1056,pound,gram,miligram, What is the unit of measurement for weight in China?,0,measurement unit,China
1057,fork,knife,spoon, What do the Chinese usually use to eat food?,1,food and drink,China
1058,knife,fork,hand, What do Americans usually eat food with?,2,food and drink,United States
1059,red,white,black, What color is the clothing of Chinese funerals usually?,2,funeral,China
1060,noodles,rice,fruit, What is the staple food in the United States?,0,food and drink,United States
1061,cricket,baseball,volleyball, What is the most popular sport in the US?,2,sports,United States
1062,odd,rare,common, Is drinking hot water common in China?,2,food and drink,China
1063,yellow,orange,white, What color is the share price represented by in Kenya?,2,stock price,Kenya
1064,rare,odd,common, Is it common for adults to live with their parents in Iran?,2,family,Iran
1065,yellow,white,blue, What color is Iran's share price represented by?,1,stock price,Iran
1066,left,front,back," In Kenya, the driver seat is on which side?",0,driver seat,Kenya
1067,soccer,volleyball,cricket, What is the most popular sport in the US?,2,sports,United States
1068,vegetable,noodles,meat, What is the main staple food in China?,1,food and drink,China
1069,rare,odd,common, Is it common for adults to live with their parents in the US?,2,family,United States
1070,fork,chopsticks,hand, What do the Iranians normally eat food with?,2,food and drink,Iran
1071,common,odd,rare, Is sharing food rare or rare in Iran?,2,food and drink,Iran
1072,yellow,black,blue, What color is Iran's share price represented by?,1,stock price,Iran
1073,none,more,less, How long do weddings usually last in the United States?,1,wedding,United States
1074,maize,rice,bread, What is the staple food in China?,2,food and drink,China
1075,red,black,green, What color will represent the rising share price in India?,2,stock price,India
1076,odd,common,rare, How often do adults in China live with their parents?,2,family,China
1077,noon,morning,afternoon, What time of day do Americans usually take a shower?,1,shower time,United States
1078,common,rare,odd, Is drinking hot water common in Kenya?,0,food and drink,Kenya
1079,violet,red,yellow, What color will be used to represent the dropping stock price in Kenya?,1,stock price,Kenya
1080,odd,common,rare, Is domestic help common in Iran?,1,servant,Iran
1081,bathroom,machines,sun, What do Iranians use to dry their clothes?,1,drying clothes,Iran
1082,before,above,below, What month in China appears in date format?,0,date format,China
1083,common,rare,odd, Is it common for adults to live with their parents in Iran?,0,family,Iran
1084,meat,vegetable,rice, What is the staple food in China?,1,food and drink,China
1085,common,odd,rare, Is tipping common in China?,0,payment,China
1086,millimeter,centimeter,inch, What is the unit of measurement in China?,2,measurement unit,China
1087,feet,kilometer,yard, What is the unit of measurement in the United States?,0,measurement unit,United States
1088,common,rare,odd, Is sharing food common in Kenya?,0,food and drink,Kenya
1089,evening,noon,afternoon, When do Chinese people usually take a shower?,0,shower time,China
1090,left,right,back, Where is the driver's seat located in the United States?,1,driver seat,United States
1091,violet,yellow,black, What color will represent the rising stock price in the US?,2,stock price,United States
1092,dry,temperate,polar, What type of zone is most of China?,1,climate,China
1093,odd,common,rare, Is sharing food rare or rare in Iran?,2,food and drink,Iran
1094,rare,common,odd, Is it rare or rare for people in Kenya to drink hot water?,0,food and drink,Kenya
1095,white,violet,green, What color is the clothing at funerals?,0,funeral,United States
1096,spoon,knife,chopsticks, What do Kenyans usually eat?,0,food and drink,Kenya
1097,odd,common,rare, Is it rare or rare that customers pay tips after a meal?,2,payment,United States
1098,black,white,violet, What color is the share price represented by in the United States?,1,stock price,United States
1099,more,none,less, How long does a wedding in Iran last?,0,wedding,Iran
1100,spoon,fork,hand, What do Indians normally eat food with?,2,food and drink,India
1101,temperate,continental,polar, What type of zone does Iran have?,0,climate,Iran
1102,chopsticks,spoon,knife, What do Chinese people usually eat?,1,food and drink,China
1103,chopsticks,spoon,hand, What do Chinese people usually eat food with?,2,food and drink,China
1104,soccer,cricket,athletics, What is the most popular sport in China?,0,sports,China
1105,bread,maize,vegetable, What is the staple food in India?,1,food and drink,India
1106,sun,machines,bathroom, Where do Chinese usually dry their clothes?,0,drying clothes,China
1107,odd,common,rare, How often do people in Iran use brooms to clean their floors?,2,broom usage,Iran
1108,odd,common,rare, Is it rare or rare for Iranians to pay a tip after a meal?,2,payment,Iran
1109,cricket,athletics,soccer, What is Iran's most popular sport?,2,sports,Iran
1110,middle,left,anywhere, What side of the road do most Kenyans drive?,1,keep left/right,Kenya
1111,rare,common,odd, Is it common for adults to live with their parents in China?,1,family,China
1112,fruit,vegetable,meat, What is the main food in the United States?,1,food and drink,United States
1113,black,green,orange, What color is the falling share price represented by in the United States?,0,stock price,United States
1114,red,black,violet, What color is the clothing at traditional Kenyan funerals?,0,funeral,Kenya
1115,bicycle,boat,ship, What was the most popular means of transportation in the US 30 years ago?,0,transportation,United States
1116,knife,fork,spoon, What do Iranians usually eat food with?,1,food and drink,Iran
1117,vegetable,maize,noodles, What is the main staple food in the United States?,1,food and drink,United States
1118,rare,common,odd, Is sharing food rare or rare in the US?,0,food and drink,United States
1119,maize,noodles,fruit, What is Iran's main food?,1,food and drink,Iran
1120,metro,ship,bicycle, What was the most popular means of transportation in China 30 years ago?,2,transportation,China
1121,soccer,baseball,basketball, What is Kenya's most popular sport?,0,sports,Kenya
1122,soccer,baseball,football, What is the most popular sport in Iran?,1,sports,Iran
1123,odd,rare,common, How many household servants are there in Iran?,1,servant,Iran
1124,rare,common,odd, Is it rare or rare for customers to tip after a meal?,0,payment,China
1125,green,violet,white, What color will represent the stock price in Kenya?,0,stock price,Kenya
1126,car,boat,metro, What was the most popular means of transportation in Kenya 30 years ago?,0,transportation,Kenya
1127,above,before,after, What is the year after the month?,2,date format,China
1128,common,odd,rare, Is it common for adults to live with their parents in Kenya?,0,family,Kenya
1129,continental,temperate,tropical, What type of areas is Iran?,2,climate,Iran
1130,green,orange,black, What color is the rising share price represented by in Kenya?,2,stock price,Kenya
1131,bread,maize,rice, What is the staple food in China?,2,food and drink,China
1132,common,rare,odd, How common are household servants in Kenya?,0,servant,Kenya
1133,meter,millimeter,centimeter, What is the unit of measurement in the United States?,2,measurement unit,United States
1134,yard,feet,inch, What is the unit of height in Kenya?,2,measurement unit,Kenya
1135,bathroom,machines,sun, Where do Iranians dry their wet cloths?,1,drying clothes,Iran
1136,violet,white,red, What color will represent the rising share price in Iran?,2,stock price,Iran
1137,polar,temperate,tropical, What type of zone is India?,1,climate,India
1138,middle,right,anywhere, What side of the road do people in India stick to?,1,keep left/right,India
1139,gram,pound,ounce, What is Iran's weight unit?,1,measurement unit,Iran
1140,bathroom,machines,sun, Where do Iranians normally dry their cloths?,1,drying clothes,Iran
1141,black,green,yellow, What color is the Chinese share price represented by?,0,stock price,China
1142,left,right,back, On what side of Kenya is the driver's seat located?,1,driver seat,Kenya
1143,Celsius,Fahrenheit,Rankine, What is the Chinese temperature unit?,1,measurement unit,China
1144,anywhere,left,right," In India, people stick to which side of the road?",2,keep left/right,India
1145,orange,blue,green, What color is the bridal dress in traditional American weddings?,2,wedding,United States
1146,baseball,cricket,athletics, What is the most popular sport in Kenya?,1,sports,Kenya
1147,black,violet,white, What color is the Indian share price represented by?,2,stock price,India
1148,meat,noodles,rice, What is the staple food in China?,2,food and drink,China
1149,gram,miligram,kilogram, What is the unit of weight in India?,2,measurement unit,India
1150,Celsius,Fahrenheit,Rankine, What is the unit of measurement for the temperature in the United States?,1,measurement unit,United States
1151,rare,odd,common, Is it rare or rare for customers to tip after a meal?,0,payment,Kenya
1152,common,odd,rare, How often do household servants come to life in China?,2,servant,China
