,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
838,the United States's most popular sport is <mask>.,the United States's most popular sport is basketball.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",basketball,Not Reported,Not Reported,True,T, What is the most popular sport in the United States?, What country's most popular sport is basketball?
839,The staple food in India is <mask>.,The staple food in India is noodles.,The staple food in India is <mask>.,India,food and drink,"rice, bread",noodles,rice,1/2,False,F, What is the staple food in India?, What country has the most noodles?
840,The rising stock price will be represented by color <mask> in China.,The rising stock price will be represented by color yellow in China.,The rising stock price will be represented by color <mask> in China.,China,stock price,red,yellow,green,F,False,F, What color will represent the rising stock price in China?, In what country will stock prices be colored yellow?
841,At traditional Chinese funerals the color of the clothing is usually <mask>.,At traditional Chinese funerals the color of the clothing is usually white.,"In traditional Chinese funerals, the color of people’s dressing is usually <mask>.",China,funeral,white,white,Not Reported,Not Reported,True,T, What color is the clothing at traditional Chinese funerals?, What country's funerals are usually white?
842,The unit of measurement of weight in the United States is <mask>.,The unit of measurement of weight in the United States is gram.,The unit of measuring weight is <mask> in United States.,United States,measurement unit,pound,gram,Not Reported,Not Reported,True,F, What is the unit of measurement of weight in the United States?, What country uses the unit of measurement of weight?
843,The unit of measuring weight is <mask> in China.,The unit of measuring weight is ounce in China.,The unit of measuring weight is <mask> in China.,China,measurement unit,kilogram,ounce,pound,F,False,F, What is the unit of measurement in China?, In what country is the unit of measurement measured in ounces?
844,The American usually eat food with <mask>.,The American usually eat food with spoon.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork",spoon,Not Reported,Not Reported,True,F, What do Americans usually eat when eating?, What country eats food with a spoon?
845,The unit of measuring weight is <mask> in Kenya.,The unit of measuring weight is ounce in Kenya.,The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,kilogram,ounce,Kilogram,T,False,F, What is the unit of measurement in Kenya?, What country uses the unit of measurement of weight as an ounce?
846,The rising stock price will be represented by color <mask> in United States.,The rising stock price will be represented by color green in United States.,The rising stock price will be represented by color <mask> in United States.,United States,stock price,green,green,red,F,False,T, What color will represent the stock price in the United States?, In what country will stock prices be represented by the color green?
847,It is <mask> in India for adults to live with their parents.,It is common in India for adults to live with their parents.,"In India, it is <mask> that adults live with their parents.",India,family,common,common,Not Reported,Not Reported,True,T, Is it common for adults to live with their parents in India?, In what country is it common for adults to live with their parents?
848,Most of the United States is located in <mask> areas.,Most of the United States is located in temperate areas.,Most part of United States is in <mask> zone.,United States,climate,temperate,temperate,Not Reported,Not Reported,True,T, What type of climate is most of the US?, What country is located in temperate areas?
849,The staple food in China is <mask>.,The staple food in China is vegetable.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",vegetable,Not Reported,Not Reported,True,F, What is the staple food in China?, What country has the most vegetables?
850,The unit of measurement for weight in Iran is <mask>.,The unit of measurement for weight in Iran is miligram.,The unit of measuring weight is <mask> in Iran.,Iran,measurement unit,kilogram,miligram,Not Reported,Not Reported,True,F, What is Iran's unit of measurement?, What country uses the unit of measurement for weight?
851,The year <mask> the month appears in Chinese date format.,The year before the month appears in Chinese date format.,"In China, year appears <mask> month in the date format.",China,date format,before,before,Not Reported,Not Reported,True,T, What year does the month appear in Chinese?, What country displays the year before the month in Chinese?
852,Iran's most popular sport is <mask>.,Iran's most popular sport is baseball.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",baseball,Not Reported,Not Reported,True,F, What is Iran's most popular sport?, What country's baseball is the most popular?
853,"In China, it is <mask> for adults to stay with their parents.","In China, it is rare for adults to stay with their parents.","In China, it is <mask> that adults live with their parents.",China,family,common,rare,Not Reported,Not Reported,True,F, How often do adults stay with their parents in China?, In what country is it rare for adults to stay with their parents?
854,It is <mask> in the United States for adults to live with their parents.,It is rare in the United States for adults to live with their parents.,"In United States, it is <mask> that adults live with their parents.",United States,family,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for adults to live with their parents in the US?, In what country is it rare for adults to live with their parents?
855,Kenyan people normally shower in the <mask>.,Kenyan people normally shower in the afternoon.,Kenyan people usually take shower in the <mask>.,Kenya,shower time,morning,afternoon,Not Reported,Not Reported,True,F, When do Kenyans normally shower?, What country does Kenyans normally shower in the afternoon?
856,In China it is <mask> for customers to tip after eating.,In China it is rare for customers to tip after eating.,"In China, it is <mask> that customers will pay tips after the meal.",China,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for customers to tip after eating?, In what country is it rare for customers to tip after eating?
857,"In United States, year appears <mask> month in the date format.","In United States, year appears before month in the date format.","In United States, year appears <mask> month in the date format.",United States,date format,after,before,after,T,False,F," In the United States, year appears before what month?", In what country does year appear before month in the date format?
858,"In India, it is <mask> for people to share their food when they eat out.","In India, it is rare for people to share their food when they eat out.","In India, it is <mask> for people to share their food when they eat out.",India,food and drink,common,rare,multiple people,T,False,F, Is sharing food rare or rare in India?, Where is it rare for people to share their food when they eat out?
859,It is <mask> to have domestic help in Kenya.,It is rare to have domestic help in Kenya.,It is <mask> to have household servants in Kenya. ,Kenya,servant,rare,rare,Not Reported,Not Reported,True,T, How often does Kenya have domestic help?, Where is domestic help rare?
860,Most of Iran is located in <mask> areas.,Most of Iran is located in dry areas.,Most part of Iran is in <mask> zone.,Iran,climate,temperate,dry,Not Reported,Not Reported,True,F, What type of areas are most of Iran?, What country is located in dry areas?
861,It is <mask> in the United States for people to clean the floor with brooms.,It is rare in the United States for people to clean the floor with brooms.,"In United States, it is <mask> that people use broom to clean the floor.",United States,broom usage,common,rare,Not Reported,Not Reported,True,F, Is it common for people in the US to clean their floors with brooms?, In what country is it rare for people to clean the floor with brooms?
862,The falling share price is represented by the color <mask> in China.,The falling share price is represented by the color green in China.,The dropping stock price will be represented by color <mask> in China.,China,stock price,green,green,Not Reported,Not Reported,True,T, What color is the Chinese share price represented by?, What country is green?
863,The staple food in India is <mask>.,The staple food in India is rice.,The staple food in India is <mask>.,India,food and drink,"rice, bread",rice,rice,1/2,False,T, What is the staple food in India?, What country has rice as its staple food?
864,The main staple food in China is <mask>.,The main staple food in China is maize.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",maize,Not Reported,Not Reported,True,F, What is the main staple food in China?, What country has the most food?
865,In traditional American weddings the color of the wedding dress is usually <mask>.,In traditional American weddings the color of the wedding dress is usually orange.,"In traditional American weddings, the color of wedding dress is usually <mask>.",United States,wedding,white,orange,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional American weddings?, In what country is the color orange usually used for weddings?
866,Chinese people usually shower in the <mask>.,Chinese people usually shower in the evening.,Chinese people usually take shower in the <mask>.,China,shower time,evening,evening,Not Reported,Not Reported,True,T, When do Chinese people usually shower?, What country does it take to shower?
867,<mask> is China's most popular sport.,athletics is China's most popular sport.,The most popular sports in China is <mask>.,China,sports,"table tennis, badminton",athletics,Not Reported,Not Reported,True,F, What is the most popular sport in China?, What country is athletics the most popular in?
868,In Iran it is <mask> for people to use brooms to clean the floor.,In Iran it is common for people to use brooms to clean the floor.,"In Iran, it is <mask> that people use broom to clean the floor.",Iran,broom usage,rare,common,Not Reported,Not Reported,True,F, Is it common or common for people in Iran to use brooms to clean the floor?, In what country are brooms used to clean the floor?
869,The most popular sports in India is <mask>.,The most popular sports in India is soccer.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",soccer,"The most popular sports in India are cricket, field hockey, and badminton.",2/3,False,T, What is the most popular sport in India?, What country has the most popular soccer teams?
870,The most popular sport in Iran is <mask>.,The most popular sport in Iran is cricket.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",cricket,Not Reported,Not Reported,True,F, What is the most popular sport in Iran?, Cricket is the most popular sport in what country?
871,The staple food in Kenya is <mask>.,The staple food in Kenya is vegetable.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",vegetable,Maize,1/2,False,T, What is the staple food in Kenya?, What country has the most vegetables?
872,The driver's seat of a car is on the <mask> in India.,The driver's seat of a car is on the front in India.,The driver seat of a car is in the <mask> side in India.,India,driver seat,right,front,Not Reported,Not Reported,True,F, Where is the driver's seat in India?, In what country is the driver's seat of a car on the front?
873,"In Iran 30 years ago, the <mask> was the most popular means of transport in large cities.","In Iran 30 years ago, the bus was the most popular means of transport in large cities.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,car,bus,Not Reported,Not Reported,True,F, What was the most popular means of transport in Iran 30 years ago?, In what country was the bus the most popular means of transport in the past 30 years?
874,At traditional Indian weddings the color of the wedding dress is usually <mask>.,At traditional Indian weddings the color of the wedding dress is usually green.,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,red,green,Not Reported,Not Reported,True,F, What color is the wedding dress usually?, What country has a wedding dress that is usually green?
875,The unit of measurement for height is <mask> in Kenya.,The unit of measurement for height is centimeter in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",centimeter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in Kenya?, What country uses centimeter as its height unit?
876,In India month <mask> year appears in date format.,In India month before year appears in date format.,"In India, month appears <mask> year in the date format.",India,date format,before,before,Not Reported,Not Reported,True,T," In India, month before year appears in date format.", In what country does month before year appear in date format?
877,The main food in China is <mask>.,The main food in China is noodles.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",noodles,Not Reported,Not Reported,True,T, What is the main food in China?, What country has the most noodles?
878,The unit of measurement for weight in the United States is <mask>.,The unit of measurement for weight in the United States is pound.,The unit of measuring weight is <mask> in United States.,United States,measurement unit,pound,pound,Not Reported,Not Reported,True,T, What is the unit of measurement for weight in the United States?, What country uses the unit of measurement for weight?
879,<mask> is Kenya's most popular sport.,cricket is Kenya's most popular sport.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",cricket,Not Reported,Not Reported,True,F, What is Kenya's most popular sport?, Cricket is the most popular sport in what country?
880,The falling share price is represented by the color <mask> in China.,The falling share price is represented by the color yellow in China.,The dropping stock price will be represented by color <mask> in China.,China,stock price,green,yellow,Not Reported,Not Reported,True,F, What color is the falling share price represented by in China?, What country has the color yellow?
881,"In Iran, weddings usually last for <mask> than one day.","In Iran, weddings usually last for less than one day.","In Iran, weddings usually last for <mask> than one day.",Iran,wedding,less,less,Yes,F,False,T, How long do Iranian weddings last?, What country has a rule that weddings last less than one day?
882,"In China, it is <mask> for adults to stay with their parents.","In China, it is common for adults to stay with their parents.","In China, it is <mask> that adults live with their parents.",China,family,common,common,Not Reported,Not Reported,True,T, Is it common for adults to stay with their parents in China?, Where do adults stay with their parents?
883,"In India, it is <mask> that customers will pay tips after the meal.","In India, it is common that customers will pay tips after the meal.","In India, it is <mask> that customers will pay tips after the meal.",India,payment,rare,common,very common,F,False,F, Is it common or common for Indians to pay a tip after a meal?, In what country do customers pay tips after a meal?
884,"In India, the most popular mode of transportation in big cities 30 years ago was <mask>.","In India, the most popular mode of transportation in big cities 30 years ago was bus.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"bus, train",bus,Bullock cart,F,False,T, What was the most popular mode of transportation in India 30 years ago?, In what country was bus the most popular mode of transportation?
885,The Indian usually eat food with <mask>.,The Indian usually eat food with spoon.,Indian people usually eat food with <mask>.,India,food and drink,"spoon, hand",spoon,Not Reported,Not Reported,True,T, What do Indians usually eat?, What country usually eats food with a spoon?
886,The most popular sport in India is <mask>.,The most popular sport in India is soccer.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",soccer,Not Reported,Not Reported,True,T, What is the most popular sport in India?, What country has the most popular soccer?
887,The month <mask> the year appears in Kenyan date format.,The month before the year appears in Kenyan date format.,"In Kenya, month appears <mask> year in the date format.",Kenya,date format,before,before,Not Reported,Not Reported,True,T, What month does the year appear in Kenyan date format?, What country uses the date format?
888,The most popular sport in India is <mask>.,The most popular sport in India is football.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",football,Not Reported,Not Reported,True,F, What is the most popular sport in India?, What country has the most popular football?
889,Chinese usually eat food with <mask>.,Chinese usually eat food with hand.,Chinese people usually eat food with <mask>.,China,food and drink,chopsticks,hand,Not Reported,Not Reported,True,F, What do Chinese usually eat food with?, What country eats food with their hands?
890,Most of Kenya is in <mask> areas.,Most of Kenya is in tropical areas.,Most part of Kenya is in <mask> zone.,Kenya,climate,tropical,tropical,Not Reported,Not Reported,True,T, What type of areas is most of Kenya?, What country is most of its land in?
891,"Normally when driving in China, people stick to the <mask> hand side.","Normally when driving in China, people stick to the right hand side.",People usually keep <mask> when driving in China.,China,keep left/right,right,right,Not Reported,Not Reported,True,T, What side of the road do people usually stick to when driving in China?, Where do people usually stick to the right hand side?
892,American usually eat food with <mask>.,American usually eat food with chopsticks.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork",chopsticks,Not Reported,Not Reported,True,F, What do Americans usually eat?, What country eats food with chopsticks?
893,The main food in Kenya is <mask>.,The main food in Kenya is vegetable.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",vegetable,Not Reported,Not Reported,True,T, What is the main food in Kenya?, What country produces the most vegetables?
894,Kenyan people usually eat food with <mask>.,Kenyan people usually eat food with spoon.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",spoon,Kenyan people usually eat food with their hands,F,False,T, What do Kenyans usually eat?, What country does Kenyans live in?
895,The measuring unit for the temperature is <mask> in India.,The measuring unit for the temperature is Celsius in India.,The unit of measuring temperature is <mask> in India.,India,measurement unit,Celsius,Celsius,Not Reported,Not Reported,True,T, What is the Indian unit of measurement for temperature?, In what country is Celsius used?
896,The unit of measuring weight is <mask> in China.,The unit of measuring weight is miligram in China.,The unit of measuring weight is <mask> in China.,China,measurement unit,kilogram,miligram,pound,F,False,F, What is the unit of measurement in China?, Where is the unit of measuring weight?
897,<mask> is the United States's most popular sport.,baseball is the United States's most popular sport.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",baseball,Not Reported,Not Reported,True,T, What is the most popular sport in the United States?, What country has the most popular baseball game?
898,The unit of measuring temperature is <mask> in China.,The unit of measuring temperature is Rankine in China.,The unit of measuring temperature is <mask> in China.,China,measurement unit,Celsius,Rankine,Celsius,T,False,F, What is the unit of measuring temperature in China?, Where is the unit of measuring temperature?
899,"In India, the driver's seat of a car is located on the <mask>.","In India, the driver's seat of a car is located on the front.",The driver seat of a car is in the <mask> side in India.,India,driver seat,right,front,Not Reported,Not Reported,True,F, Where is the driver's seat of a car in India?, In what country is the driver's seat of a car located on the front?
900,People usually keep <mask> when driving in Kenya.,People usually keep left when driving in Kenya.,People usually keep <mask> when driving in Kenya.,Kenya,keep left/right,left,left,The left side,T,False,T, What direction do people usually keep when driving in Kenya?, Where do people usually keep left when driving?
901,"In Iran, it is <mask> for people to clean the floor with brooms.","In Iran, it is common for people to clean the floor with brooms.","In Iran, it is <mask> that people use broom to clean the floor.",Iran,broom usage,rare,common,Not Reported,Not Reported,True,F, Is it common or common for people in Iran to clean the floor with brooms?, In what country is it common for people to clean the floor with brooms?
902,The unit for measuring temperature in Iran is <mask>.,The unit for measuring temperature in Iran is Celsius.,The unit of measuring temperature is <mask> in Iran.,Iran,measurement unit,Celsius,Celsius,Not Reported,Not Reported,True,T, What is Iran's unit of measurement?, In what country is Celsius used for measuring temperature?
903,It is <mask> in Kenya for people to clean the floor with brooms.,It is rare in Kenya for people to clean the floor with brooms.,"In Kenya, it is <mask> that people use broom to clean the floor.",Kenya,broom usage,common,rare,Not Reported,Not Reported,True,F, How often do Kenyans clean their floors with brooms?, In what country is it rare for people to clean the floor with brooms?
904,People usually keep <mask> when driving in Iran.,People usually keep left when driving in Iran.,People usually keep <mask> when driving in Iran.,Iran,keep left/right,right,left,The right side,T,False,F, What direction do Iranians usually take when driving?, Where do people usually keep left when driving?
905,The American usually take a shower in the <mask>s.,The American usually take a shower in the mornings.,American people usually take shower in the <mask>.,United States,shower time,morning,morning,Not Reported,Not Reported,True,T, What time of day do Americans usually take a shower?, What country does the American take a shower in the morning?
906,The unit of measurement for height is <mask> in the United States.,The unit of measurement for height is kilometer in the United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",kilometer,Not Reported,Not Reported,True,F, What is the unit of measurement for height in the United States?, Where is the unit of measurement for height in the United States?
907,The Chinese normally eat food with <mask>.,The Chinese normally eat food with knife.,Chinese people usually eat food with <mask>.,China,food and drink,chopsticks,knife,Not Reported,Not Reported,True,F, What do the Chinese usually use to eat food?, What country eats food with a knife?
908,The unit of measuring weight is <mask> in Iran.,The unit of measuring weight is miligram in Iran.,The unit of measuring weight is <mask> in Iran.,Iran,measurement unit,kilogram,miligram,Kilogram,T,False,F, What is the unit of measurement in Iran?, In what country is the unit of measurement called miligram?
909,"In Iran, it is <mask> that people use broom to clean the floor.","In Iran, it is common that people use broom to clean the floor.","In Iran, it is <mask> that people use broom to clean the floor.",Iran,broom usage,rare,common,common,F,False,F, Is it common or common practice in Iran to use a broom to clean the floor?, In what country is it common for people to use a broom to clean the floor?
910,"In India, it is <mask> to see that people drink hot water.","In India, it is rare to see that people drink hot water.","In India, it is <mask> to see people drink hot water.",India,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare to see people drink hot water in India?, In what country is it rare to see people drink hot water?
911,The unit of height in India is <mask>.,The unit of height in India is kilometer.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",kilometer,Not Reported,Not Reported,True,F, What is the unit of height in India?, What country uses the unit of height as kilometer?
912,Most part of Kenya is in <mask> zone.,Most part of Kenya is in tropical zone.,Most part of Kenya is in <mask> zone.,Kenya,climate,tropical,tropical,Tropical ,T,False,T, What type of zone is most of Kenya?, What country is in tropical zone?
913,The unit for measuring temperature in India is <mask>.,The unit for measuring temperature in India is Fahrenheit.,The unit of measuring temperature is <mask> in India.,India,measurement unit,Celsius,Fahrenheit,Not Reported,Not Reported,True,F, What is the unit used in India to measure temperature?, In what country is Fahrenheit used for measuring temperature?
914,In the United States year <mask> month appears in date format.,In the United States year after month appears in date format.,"In United States, year appears <mask> month in the date format.",United States,date format,after,after,Not Reported,Not Reported,True,T, What month appears in the United States in date format?, In what country does the date format appear?
915,In Kenya the year <mask> the month appears in date format.,In Kenya the year after the month appears in date format.,"In Kenya, year appears <mask> month in the date format.",Kenya,date format,after,after,Not Reported,Not Reported,True,T, What is the year after the month in Kenya?, In what country does the year after the month appear in date format?
916,In India month <mask> year appears in date format.,In India month above year appears in date format.,"In India, month appears <mask> year in the date format.",India,date format,before,above,Not Reported,Not Reported,True,F," In India, month is displayed in what format?", In what country does month above year appear in date format?
917,The staple food in India is <mask>.,The staple food in India is maize.,The staple food in India is <mask>.,India,food and drink,"rice, bread",maize,rice,1/2,False,F, What is the staple food in India?, What country has the most common food source?
918,The driver's seat of a car is located on the <mask> in Iran.,The driver's seat of a car is located on the front in Iran.,The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,left,front,Not Reported,Not Reported,True,F, Where is the driver's seat located in Iran?, Where is the driver's seat located?
919,American people usually eat food with <mask>.,American people usually eat food with chopsticks.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork",chopsticks,American people usually eat food with a fork and a knife.,T,False,F, What do Americans usually eat?, What country does the American people eat with chopsticks?
920,Chinese people normally shower in the <mask>.,Chinese people normally shower in the afternoon.,Chinese people usually take shower in the <mask>.,China,shower time,evening,afternoon,Not Reported,Not Reported,True,F, When do Chinese people normally shower?, What country does it take to shower?
921,The year <mask> the month appears in Kenyan date format.,The year after the month appears in Kenyan date format.,"In Kenya, year appears <mask> month in the date format.",Kenya,date format,after,after,Not Reported,Not Reported,True,T, What is the year after the month?, What country uses the year after the month format?
922,"In China, it is <mask> that adults live with their parents.","In China, it is common that adults live with their parents.","In China, it is <mask> that adults live with their parents.",China,family,common,common,It is common for adults to live with their parents in China.,T,False,T, Is it common for adults to live with their parents in China?, In what country do adults live with their parents?
923,"In Iran, the unit of weight is the <mask>.","In Iran, the unit of weight is the kilogram.",The unit of measuring weight is <mask> in Iran.,Iran,measurement unit,kilogram,kilogram,Not Reported,Not Reported,True,T, What is Iran's unit of weight?, In what country is the kilogram used?
924,Most part of United States is in <mask> zone.,Most part of United States is in temperate zone.,Most part of United States is in <mask> zone.,United States,climate,temperate,temperate,temperate,T,False,T, What type of zone is the majority of the US?, What country is in temperate zone?
925,The rising share price will be represented in China by the color <mask>.,The rising share price will be represented in China by the color red.,The rising stock price will be represented by color <mask> in China.,China,stock price,red,red,Not Reported,Not Reported,True,T, What color will represent the rising share price in China?, What country will the color red represent?
926,Indian people usually eat food with <mask>.,Indian people usually eat food with spoon.,Indian people usually eat food with <mask>.,India,food and drink,"spoon, hand",spoon,Indian people usually eat food with a fork and a knife.,F,False,T, What do Indians usually eat?, What country eats food with a spoon?
927,"In traditional Persian weddings, the color of wedding dress is usually <mask>.","In traditional Persian weddings, the color of wedding dress is usually white.","In traditional Persian weddings, the color of wedding dress is usually <mask>.",Iran,wedding,white,white,white,T,False,T, What color is the wedding dress in traditional Persian weddings?, What country has a tradition of white weddings?
928,In China wedding ceremony typically lasts <mask> than one day.,In China wedding ceremony typically lasts more than one day.,"In China, weddings usually last for <mask> than one day.",China,wedding,less,more,Not Reported,Not Reported,True,F, How long does a wedding in China last?, In what country does a wedding typically last more than one day?
929,The staple food in United States is <mask>.,The staple food in United States is rice.,The staple food in United States is <mask>.,United States,food and drink,bread,rice,potatoes,F,False,F, What is the staple food in the United States?, What country has the most rice?
930,"In Iran, it is <mask> to see people drink hot water.","In Iran, it is common to see people drink hot water.","In Iran, it is <mask> to see people drink hot water.",Iran,food and drink,rare,common,Not Reported,Not Reported,True,F, Is drinking hot water common or uncommon in Iran?, In what country is hot water common?
931,"In India, it is <mask> for customers to pay tips after eating.","In India, it is rare for customers to pay tips after eating.","In India, it is <mask> that customers will pay tips after the meal.",India,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for customers to pay tips after eating?, In what country is it rare for customers to pay tips after eating?
932,The unit of measurement for height is <mask> in China.,The unit of measurement for height is centimeter in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"meter, centimeter",centimeter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in China?, In what country is the unit of measurement for height called centimeter?
933,Iranian usually eat food with <mask>.,Iranian usually eat food with hand.,Iranian people usually eat food with <mask>.,Iran,food and drink,"spoon, fork",hand,Not Reported,Not Reported,True,F, What do Iranians usually eat food with?, What country eats food with their hands?
934,"In China 30 years ago, the <mask> was the most popular means of transportation in major cities.","In China 30 years ago, the car was the most popular means of transportation in major cities.","In China, the most popular mode of transportation in big cities 30 years ago was <mask>.",China,transportation,bicycle,car,Not Reported,Not Reported,True,F, What was the most popular means of transportation in China 30 years ago?, In what country was the car the most popular means of transportation in the past 30 years?
935,"In the United States, it is <mask> to use brooms to clean the floor.","In the United States, it is common to use brooms to clean the floor.","In United States, it is <mask> that people use broom to clean the floor.",United States,broom usage,common,common,Not Reported,Not Reported,True,T, Is it common or common practice to use brooms to clean the floor in the United States?, In what country is it common to use brooms to clean the floor?
936,Iranian people usually shower in the <mask>.,Iranian people usually shower in the morning.,Iranian people usually take shower in the <mask>.,Iran,shower time,morning,morning,Not Reported,Not Reported,True,T, When do Iranians usually shower?, What country does Iran have a habit of showering in the morning?
937,The most popular sport in India is <mask>.,The most popular sport in India is badminton.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",badminton,Not Reported,Not Reported,True,T, What is the most popular sport in India?, What country has the most popular badminton game?
938,The unit of measuring weight is <mask> in China.,The unit of measuring weight is kilogram in China.,The unit of measuring weight is <mask> in China.,China,measurement unit,kilogram,kilogram,pound,F,False,T, What is the unit of measurement in China?, What country uses kilograms as a weight unit?
939,The main food in India is <mask>.,The main food in India is bread.,The staple food in India is <mask>.,India,food and drink,"rice, bread",bread,Not Reported,Not Reported,True,T, What is the main food in India?, What country has the largest bread production?
940,The unit of height in the United States is <mask>.,The unit of height in the United States is meter.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",meter,Not Reported,Not Reported,True,F, What is the unit of height in the United States?, What country uses the unit of height?
941,Month appears <mask> year in Indian date format.,Month appears above year in Indian date format.,"In India, month appears <mask> year in the date format.",India,date format,before,above,Not Reported,Not Reported,True,F, What is the month in Indian date format?, What country's date format is used?
942,The main staple food in Iran is <mask>.,The main staple food in Iran is rice.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",rice,Not Reported,Not Reported,True,T, What is Iran's main staple food?, What country has rice as its main staple?
943,In Kenya it is <mask> for customers to tip after eating.,In Kenya it is rare for customers to tip after eating.,"In Kenya, it is <mask> that customers will pay tips after the meal.",Kenya,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for customers to tip after eating?, In what country is it rare for customers to tip after eating?
944,People stick to the <mask> hand side when driving in India.,People stick to the left hand side when driving in India.,People usually keep <mask> when driving in India.,India,keep left/right,left,left,Not Reported,Not Reported,True,T, What side of the road do people in India stick to?, People stick to the left hand side when driving in what country?
945,"In India, it is <mask> for people to share their food when they go to eat.","In India, it is common for people to share their food when they go to eat.","In India, it is <mask> for people to share their food when they eat out.",India,food and drink,common,common,Not Reported,Not Reported,True,T, Is sharing food common in India?, Where is it common for people to share their food when they go to eat?
946,In traditional American weddings the color of the wedding dress is usually <mask>.,In traditional American weddings the color of the wedding dress is usually white.,"In traditional American weddings, the color of wedding dress is usually <mask>.",United States,wedding,white,white,Not Reported,Not Reported,True,T, What color is the wedding dress in traditional American weddings?, In what country is the wedding dress usually white?
947,"In the United States, the rising share price will be represented by the color <mask>.","In the United States, the rising share price will be represented by the color green.",The rising stock price will be represented by color <mask> in United States.,United States,stock price,green,green,Not Reported,Not Reported,True,T, What color will represent the rising share price in the US?, In what country will the color green represent the rising share price?
948,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is soccer.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",soccer,Not Reported,Not Reported,True,T, What is the most popular sport in Kenya?, What country has the most popular soccer team?
949,the United States's most popular sport is <mask>.,the United States's most popular sport is tabletennis.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",tabletennis,Not Reported,Not Reported,True,F, What is the most popular sport in the United States?, What country is tabletennis the most popular sport in?
950,"In India, people usually eat food with <mask>.","In India, people usually eat food with hand.",Indian people usually eat food with <mask>.,India,food and drink,"spoon, hand",hand,Not Reported,Not Reported,True,T, What do people in India usually eat food with?, Where do people usually eat food with their hands?
951,The Kenyan normally eat food with <mask>.,The Kenyan normally eat food with spoon.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",spoon,Not Reported,Not Reported,True,T, What do Kenyans usually eat?, What country does Kenyans normally eat with a spoon?
952,In Iran wedding ceremony typically lasts <mask> than one day.,In Iran wedding ceremony typically lasts more than one day.,"In Iran, weddings usually last for <mask> than one day.",Iran,wedding,less,more,Not Reported,Not Reported,True,F, How long does a wedding in Iran last?, What country's wedding ceremony typically lasts more than one day?
953,The rising share price will be represented in Iran by the color <mask>.,The rising share price will be represented in Iran by the color green.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,green,green,Not Reported,Not Reported,True,T, What color will represent the rising share price in Iran?, What country will the color green represent?
954,Month appears <mask> year in Indian date format.,Month appears after year in Indian date format.,"In India, month appears <mask> year in the date format.",India,date format,before,after,Not Reported,Not Reported,True,F, What happens after the month?, What country's date format is used?
955,The temperature measurement unit in India is <mask>.,The temperature measurement unit in India is Rankine.,The unit of measuring temperature is <mask> in India.,India,measurement unit,Celsius,Rankine,Not Reported,Not Reported,True,F, What is the temperature measurement unit in India?, In what country is the temperature unit Rankine located?
